,name,position,age,points,team,twitter_fav,twitter_retweet
0,Russell Westbrook,PG,28,31.6,OKC,2130.5,559.0
1,James Harden,PG,27,29.1,HOU,969.0,321.5
2,Anthony Davis,C,23,28.0,NO,368.0,104.0
3,DeMarcus Cousins,C,26,27.0,NO/SAC,102.0,91.5
4,Damian Lillard,PG,26,27.0,POR,186.5,43.0
5,LeBron James,SF,32,26.4,CLE,5533.5,1501.5
6,Kawhi Leonard,SF,25,25.5,SA,2701.5,716.5
7,Stephen Curry,PG,28,25.3,GS,12278.0,2893.0
8,Kyrie Irving,PG,24,25.2,CLE,1541.0,695.0
9,Kevin Durant,SF,28,25.1,GS,1425.5,366.0
10,Karl-Anthony Towns,C,21,25.1,MIN,0.0,105.0
11,Jimmy Butler,SF,27,23.9,CHI,89.5,30.0
12,Paul George,SF,26,23.7,IND,228.5,128.0
13,Andrew Wiggins,SF,21,23.6,MIN,182.0,54.5
14,Kemba Walker,PG,26,23.2,CHA,59.5,32.5
15,Bradley Beal,SG,23,23.1,WSH,55.5,40.5
16,John Wall,PG,26,23.1,WSH,0.0,77.0
17,Carmelo Anthony,SF,32,22.4,NY,720.5,220.0
18,Klay Thompson,SG,26,22.3,GS,797.0,225.0
19,Devin Booker,SG,20,22.1,PHX,1170.5,335.5
20,Gordon Hayward,SF,26,21.9,UTAH,319.0,50.5
21,Blake Griffin,PF,27,21.6,LAC,269.0,98.5
22,Eric Bledsoe,PG,27,21.1,PHX,9.0,30.5
23,Mike Conley,PG,29,20.5,MEM,257.5,90.0
24,Goran Dragic,PG,30,20.3,MIA,62.5,45.0
25,Joel Embiid,C,22,20.2,PHI,6852.5,2941.0
26,Jabari Parker,PF,21,20.1,MIL,267.0,125.0
27,Marc Gasol,C,32,19.5,MEM,0.0,75.5
28,Kevin Love,PF,28,19.0,CLE,866.5,194.5
29,Zach LaVine,SG,21,18.9,MIN,178.5,67.0
30,Dwyane Wade,SG,35,18.3,CHI,349.5,149.5
31,Danilo Gallinari,SF,28,18.2,DEN,29.0,6.0
32,Paul Millsap,PF,31,18.1,ATL,60.0,32.0
33,Chris Paul,PG,31,18.1,LAC,829.0,178.5
34,Kristaps Porzingis,PF,21,18.1,NY,485.0,214.0
35,Derrick Rose,PG,28,18.0,NY,1864.0,2504.5
36,Dennis Schroder,PG,23,17.9,ATL,51.5,20.0
37,LaMarcus Aldridge,PF,31,17.3,SA,195.0,63.0
38,Evan Fournier,SG,24,17.2,ORL,21.0,10.0
39,George Hill,PG,30,16.9,UTAH,33.5,3.0
40,Nikola Jokic,C,21,16.7,DEN,0.0,1.0
41,Eric Gordon,SG,28,16.2,HOU,55.0,26.0
42,Tobias Harris,PF,24,16.1,DET,2.0,4.0
43,Victor Oladipo,SG,24,15.9,OKC,78.0,28.0
44,Dion Waiters,SG,25,15.8,MIA,0.0,7.0
45,Wilson Chandler,SF,29,15.7,DEN,31.5,18.5
46,D'Angelo Russell,PG,20,15.6,LAL,0.0,232.0
47,Jrue Holiday,PG,26,15.4,NO,0.0,39.0
48,Jeff Teague,PG,28,15.3,IND,17.5,13.5
49,Nicolas Batum,SG,28,15.1,CHA,114.5,66.0
50,Gary Harris,SG,22,14.9,DEN,6.0,2.5
51,Jordan Clarkson,SG,24,14.7,LAL,55.5,179.5
52,Khris Middleton,SF,25,14.7,MIL,16.0,9.0
53,Nikola Vucevic,C,26,14.6,ORL,5.5,35.5
54,Jeremy Lin,PG,28,14.5,BKN,936.5,197.5
55,Myles Turner,C,20,14.5,IND,53.0,31.0
56,Enes Kanter,C,24,14.3,OKC,147.0,195.0
57,Dirk Nowitzki,PF,38,14.2,DAL,1564.0,500.5
58,Zach Randolph,PF,35,14.1,MEM,47.0,18.5
59,Rudy Gobert,C,24,14.0,UTAH,731.0,225.5
60,Al Horford,C,30,14.0,BOS,136.0,71.0
61,Marcus Morris,SF,27,14.0,DET,6.0,23.0
62,Markieff Morris,PF,27,14.0,WSH,9.0,18.0
63,Jae Crowder,SF,26,13.9,BOS,55.0,47.0
64,Kentavious Caldwell-Pope,SG,23,13.8,DET,9.0,10.0
65,Will Barton,SG,26,13.7,DEN,1.0,3.0
66,Tyler Johnson,PG,24,13.7,MIA,3.0,6.0
67,Dwight Howard,C,31,13.5,ATL,7.0,1.0
68,Darren Collison,PG,29,13.2,SAC,4.0,7.0
69,Julius Randle,PF,22,13.2,LAL,102.0,59.0
70,Nick Young,SG,31,13.2,LAL,45.5,14.0
71,Elfrid Payton,PG,22,12.8,ORL,19.0,8.0
72,Aaron Gordon,SF,21,12.7,ORL,42.5,16.0
73,Pau Gasol,C,36,12.4,SA,882.5,148.5
74,Jamal Crawford,SG,36,12.3,LAC,49.0,32.0
75,Austin Rivers,SG,24,12.0,LAC,75.5,23.0
76,Jonas Valanciunas,C,24,12.0,TOR,65.0,40.0
77,Trevor Ariza,SF,31,11.7,HOU,10.0,15.0
78,Frank Kaminsky,C,23,11.7,CHA,112.5,29.0
79,Greg Monroe,C,26,11.7,MIL,9.0,7.0
80,Steven Adams,C,23,11.3,OKC,36.0,99.0
81,Ricky Rubio,PG,26,11.1,MIN,262.5,76.0
82,Jerryd Bayless,PG,28,11.0,PHI,2.0,5.0
83,Emmanuel Mudiay,PG,20,11.0,DEN,69.0,21.0
84,Terrence Ross,SF,25,11.0,ORL/TOR,0.0,0.0
85,Thaddeus Young,PF,28,11.0,IND,0.0,1.5
86,J.J. Barea,PG,32,10.9,DAL,0.0,17.5
87,Justise Winslow,SF,20,10.9,MIA,88.5,33.5
88,Taj Gibson,PF,31,10.8,CHI/OKC,52.0,17.0
89,Marcin Gortat,C,32,10.8,WSH,1.0,1.0
90,Courtney Lee,SG,31,10.8,NY,2.0,1.0
91,Allen Crabbe,SG,24,10.7,POR,11.5,9.0
92,Buddy Hield,SG,23,10.6,NO/SAC,512.0,333.0
93,Nikola Mirotic,PF,25,10.6,CHI,119.0,50.5
94,Marcus Smart,SG,22,10.6,BOS,1.0,9.0
95,Marco Belinelli,SG,30,10.5,CHA,0.0,15.0
96,Wayne Ellington,SG,29,10.5,MIA,18.0,12.0
97,Tyreke Evans,SF,27,10.3,NO/SAC,6.0,9.0
98,Cody Zeller,PF,24,10.3,CHA,90.0,29.0
99,Draymond Green,PF,26,10.2,GS,627.0,168.5
100,Jusuf Nurkic,C,22,10.2,DEN/POR,45.0,43.5
101,Josh Richardson,SG,23,10.2,MIA,42.0,10.0
102,Kyle Korver,SG,35,10.1,ATL/CLE,107.5,30.5
103,Trevor Booker,PF,29,10.0,BKN,16.5,8.0
104,Maurice Harkless,SF,23,10.0,POR,0.0,14.5
105,Jamal Murray,SG,19,9.9,DEN,0.0,62.5
106,Kenneth Faried,PF,27,9.6,DEN,14.0,8.0
107,E'Twaun Moore,SG,27,9.6,NO,0.0,10.0
108,Derrick Favors,PF,25,9.5,UTAH,25.0,6.5
109,Patty Mills,PG,28,9.5,SA,112.0,19.0
110,Nik Stauskas,SG,23,9.5,PHI,28.0,11.0
111,Michael Beasley,PF,28,9.4,MIL,8.0,5.0
112,Brandon Ingram,SF,19,9.4,LAL,194.0,100.0
113,Cory Joseph,PG,25,9.3,TOR,48.5,15.0
114,Marquese Chriss,PF,19,9.2,PHX,0.0,22.0
115,Jeff Green,PF,30,9.2,ORL,57.5,28.5
116,Gerald Henderson,SG,29,9.2,PHI,1.0,8.0
117,Michael Kidd-Gilchrist,SF,23,9.2,CHA,29.0,11.0
118,Jameer Nelson,PG,34,9.2,DEN,0.0,9.0
119,Tony Allen,SG,35,9.1,MEM,10.5,11.0
120,Channing Frye,C,33,9.1,CLE,8.0,4.0
121,Jodie Meeks,SG,29,9.1,ORL,36.5,15.0
122,Kelly Olynyk,C,25,9.0,BOS,56.5,16.0
123,Evan Turner,SF,28,9.0,POR,17.0,13.0
124,DeMarre Carroll,SF,30,8.9,TOR,29.5,8.0
125,Al-Farouq Aminu,SF,26,8.7,POR,33.0,9.0
126,Nerlens Noel,C,22,8.7,DAL/PHI,105.0,64.0
127,Marreese Speights,C,29,8.7,LAC,80.0,12.0
128,Tyson Chandler,C,34,8.4,PHX,29.0,9.0
129,Troy Daniels,SG,25,8.2,MEM,30.0,10.0
130,Willy Hernangomez,C,22,8.2,NY,0.0,55.5
131,Caris LeVert,SF,22,8.2,BKN,0.0,28.0
132,Willie Cauley-Stein,C,23,8.1,SAC,0.0,17.0
133,Ben McLemore,SG,23,8.1,SAC,30.0,17.0
134,Tristan Thompson,C,25,8.1,CLE,368.0,211.0
135,Vince Carter,SF,40,8.0,MEM,0.0,7.0
136,Alex Len,C,23,8.0,PHX,10.5,6.0
137,Langston Galloway,PG,25,7.9,NO/SAC,14.5,2.0
138,Shelvin Mack,PG,26,7.8,UTAH,6.0,3.0
139,Rajon Rondo,PG,30,7.8,CHI,185.5,74.0
140,Garrett Temple,SG,30,7.8,SAC,2.0,1.0
141,Matthew Dellavedova,PG,26,7.6,MIL,175.0,30.0
142,Luol Deng,SF,31,7.6,LAL,22.0,13.5
143,Andre Iguodala,SF,33,7.6,GS,300.5,43.0
144,Manu Ginobili,SG,39,7.5,SA,299.0,66.0
145,Danny Green,SG,29,7.3,SA,0.0,15.0
146,David Lee,PF,33,7.3,SA,56.5,35.0
147,Thabo Sefolosha,SF,32,7.2,ATL,28.5,17.5
148,Justin Anderson,SF,23,7.1,DAL/PHI,5.0,10.0
149,Joe Ingles,SF,29,7.1,UTAH,86.5,4.0
150,Jared Dudley,PF,31,6.8,PHX,31.0,4.0
151,Patrick Patterson,PF,27,6.8,TOR,53.5,8.0
152,Bobby Portis,PF,21,6.8,CHI,37.0,73.0
154,Brandan Wright,PF,29,6.8,MEM,0.0,6.0
155,Alec Burks,SG,25,6.7,UTAH,10.0,15.0
156,Dwight Powell,C,25,6.7,DAL,0.0,10.0
157,Jaylen Brown,SF,20,6.6,BOS,0.0,100.0
158,Michael Carter-Williams,PG,25,6.6,CHI,0.0,5.0
159,Dante Cunningham,SF,29,6.6,NO,0.0,3.0
160,Kosta Koufos,C,27,6.6,SAC,37.0,8.0
161,Andre Roberson,SF,25,6.6,OKC,10.0,8.0
162,Sam Dekker,SF,22,6.5,HOU,139.0,13.0
163,Amir Johnson,PF,29,6.5,BOS,31.5,6.0
164,Kyle O'Quinn,C,26,6.3,NY,0.0,7.0
165,Dante Exum,PG,21,6.2,UTAH,48.5,28.0
166,Spencer Hawes,PF,28,6.2,MIL/CHA,12.0,4.0
167,Trey Lyles,PF,21,6.2,UTAH,48.0,12.0
168,Chandler Parsons,SF,28,6.2,MEM,59.0,16.0
169,Troy Williams,SF,22,6.2,HOU/MEM,5.0,9.0
170,JaVale McGee,C,29,6.1,GS,0.0,32.0
171,Jerian Grant,PG,24,5.9,CHI,25.0,32.5
172,Andrew Harrison,PG,22,5.9,MEM,0.0,17.0
173,Domantas Sabonis,PF,20,5.9,OKC,0.0,82.0
174,Quincy Acy,PF,26,5.8,DAL/BKN,4.0,4.0
175,Ian Mahinmi,C,30,5.6,WSH,10.0,5.0
176,Georgios Papagiannis,C,19,5.6,SAC,7.0,3.0
177,Delon Wright,PG,24,5.6,TOR,11.5,14.0
178,Anthony Morrow,SG,31,5.5,CHI/OKC,0.0,5.0
179,Terry Rozier,PG,22,5.5,BOS,2.0,6.0
180,Malcolm Delaney,PG,27,5.4,ATL,1.0,1.0
181,Meyers Leonard,PF,24,5.4,POR,149.0,31.0
182,Chasson Randle,PG,23,5.3,NY/PHI,13.5,7.0
183,Randy Foye,SG,33,5.2,BKN,2.0,4.0
184,Cameron Payne,PG,22,5.2,CHI/OKC,38.5,21.0
185,Luis Scola,PF,36,5.1,BKN,16.0,60.0
186,Denzel Valentine,SG,23,5.1,CHI,23.0,24.0
187,Anthony Bennett,PF,23,5.0,BKN,9.0,10.5
188,Aaron Brooks,PG,32,5.0,IND,1.0,3.0
189,Trey Burke,PG,24,5.0,WSH,41.0,14.0
190,Joakim Noah,C,31,5.0,NY,0.0,87.0
191,Mario Hezonja,SF,21,4.9,ORL,272.0,207.0
192,Tiago Splitter,C,32,4.9,PHI,8.0,9.0
193,Kevin Seraphin,PF,27,4.7,IND,4.5,8.0
194,Isaiah Canaan,SG,25,4.6,CHI,24.5,8.0
195,Boris Diaw,PF,34,4.6,UTAH,136.5,13.0
196,Kris Humphries,PF,31,4.6,ATL,67.0,9.0
197,Corey Brewer,SF,30,4.5,HOU/LAL,51.5,15.5
198,Reggie Bullock,SF,25,4.5,DET,20.0,13.0
199,Stanley Johnson,SF,20,4.4,DET,0.0,19.0
200,Noah Vonleh,PF,21,4.4,POR,23.5,12.0
201,Tyler Ennis,PG,22,4.3,HOU/LAL,11.0,6.0
202,Brandon Rush,SG,31,4.2,MIN,14.0,1.5
203,Thon Maker,C,19,4.0,MIL,0.0,39.5
204,Anthony Brown,SF,24,3.9,NO/ORL,3.0,3.0
205,Jarell Martin,PF,22,3.9,MEM,2.0,4.0
206,Malik Beasley,SG,20,3.8,DEN,0.0,14.0
207,Kris Dunn,PG,22,3.8,MIN,165.0,47.0
208,Jonas Jerebko,PF,29,3.8,BOS,7.0,17.0
209,Tyus Jones,PG,20,3.5,MIN,0.0,14.0
210,Adreian Payne,PF,25,3.5,MIN,0.0,13.0
211,Rashad Vaughn,SG,20,3.5,MIL,2.0,7.0
212,Tyler Zeller,C,27,3.5,BOS,15.0,14.0
214,Jared Sullinger,PF,24,3.4,TOR,11.0,2.0
215,Henry Ellenson,PF,20,3.2,DET,6.5,5.0
216,Paul Pierce,SF,39,3.2,LAC,346.5,142.0
217,Briante Weber,PG,24,3.1,GS/CHA,29.5,14.0
218,Jarrett Jack,PG,33,3.0,NO,11.5,7.0
219,Andrew Bogut,C,32,2.9,CLE/DAL,57.0,4.0
220,Fred VanVleet,PG,22,2.9,TOR,0.0,17.5
221,Kyle Singler,SF,28,2.8,OKC,9.0,6.0
223,Tomas Satoransky,SG,25,2.7,WSH,7.0,8.5
224,Andrew Nicholson,PF,27,2.6,BKN/WSH,5.0,5.0
225,DeAndre Liggins,SG,28,2.5,CLE/DAL,2.0,2.0
226,Miles Plumlee,C,28,2.5,MIL/CHA,11.0,3.0
227,Mike Scott,PF,28,2.5,ATL,2.0,1.0
228,Greivis Vasquez,PG,30,2.3,BKN,10.0,8.5
229,James Young,SG,21,2.3,BOS,0.0,12.0
230,Rakeem Christmas,PF,25,2.0,IND,13.0,3.0
231,Udonis Haslem,C,36,1.9,MIA,28.5,18.0
232,Lamar Patterson,SG,25,1.8,ATL,4.0,4.0
233,Cole Aldrich,C,28,1.7,MIN,22.0,9.0
234,Nick Collison,PF,36,1.7,OKC,10.0,12.0
235,Bruno Caboclo,SF,21,1.6,TOR,11.0,8.0
236,Ryan Kelly,PF,25,1.6,ATL,17.0,10.0
237,Jordan Mickey,PF,22,1.5,BOS,0.0,3.0
